Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Mobile Dev for Sports Sweepstakes App,Mobile App Development,"$200,000 to $999,999",2016 - Ongoing,CitrusBits re-developed a native app for iOS and Android after a previous company failed to deliver. The team focused on front- and backend development and UI/UX, they continue to work on updates and marketing.,Miles Johnson,"COO, TLS Holdings, Inc.",Sports,1-10 Employees,"Minden, Nevada"
E-Commerce UI/UX Implementation ,UI/UX Design,"$200,000 to $999,999",Mar. 2017 - Ongoing,Outsourced resources from CitrusBits helped rebrand an e-commerce site in order to comply with post-acquisition style requirements. They also assisted in optimizing the sites UX and mobile responsiveness.,None,"Founder, Design Agency",Retail,1-10 Employees,"Los Angeles, California ",
Mobile App Dev For Dry Cleaning App,Mobile App Development,"$10,000 to $49,999",June 2014 - Ongoing,"CitrusBits designed and developed a mobile app that allowed users to schedule laundry services. They handled each stage, from wireframing to launch on the iOS and Android app stores.",Chris Shaginian,"CEO, iClean",Hospitality and Leisure,1-10 Employees,"Los Angeles, California",
VR-Based Android Dev for Visual Aid Device,Mobile App Development,"$200,000 to $999,999",Mar. 2015 - Ongoing,"CitrusBits provides ongoing software development for a low-vision product, incorporating VR technology and customized Android app construction to create an intuitive UX with efficient battery performance.",Tom Perski,"Outreach VP, IrisVision",Medical Devices,11-50 Employees,"Pleasanton, California",
iOS Trivia App Development ,Mobile App Development,"$50,000 to $199,999",June 2017 - Jan. 2018,"CitrusBits took an array of storyboards and audio and graphics samples and converted that into an iOS trivia app, which was the first and leading product for several more games to come.",Eric Johns,"Owner, Virtual Take-Out Casual Games",Gaming,1-10 Employees,"Los Angeles, California",
Mobile App Dev for Audio Software Company,Mobile App Development,"$10,000 to $49,999",Aug. - Sept. 2017,"Citrusbits created an Android app to support software sales demonstrations, highlighting key product functionalities through contemporary UI/UX design and rapid development to meet an aggressive deadline.",Douglas Schumacker,"Marketing Leader, HARMAN Embedded Audio",Consumer Electronics,51-200 Employees,"Mountain View, California ",
iOS App Dev for Campaign Management App,Mobile App Development,"$10,000 to $49,999",2015 - Ongoing ,"Citrusbits provided full-stack development for an iOS campaign service app, and remain responsible for its maintenance. They contributed to all aspects of the coding.",None,"Co-Founder, Campaign Management App",IT Services,1-10 Employees,"Stockton, California",
App Development for Vision Board Mobile App,Mobile App Development,Confidential,Mar. 2015 - Ongoing,Citrusbits designed and programmed an Android vision board app with complex subliminal features. They will soon begin work on the iOS version of the app.,Greg Tosian,"Owner, Subliminal Vision Boards",IT Services,1-10 Employees,None,
Mobile App Dev for Brand & Creative Strategy Agency,Mobile App Development,"$200,000 to $999,999",2013 - 2015,"Mobisoft Infotech developed two mobile apps for iOS and Android, collaboratingon content placement and continuing to implement new features.",None,"Account Manager, Creative Ad Agency",Marketing & Advertising,11-50 Employees,"Milwaukee, Wisconsin",
Mobile App Dev of Digital Health Application,Mobile App Development,"$50,000 to $199,999",Feb. 2017 - Jan. 2018,Mobisoft augmented an internal development team building a healthcare services app for iOS and Android that is currently in beta. Features include HIPPA compliant secure messaging and photo capture capability.,None,"Co-Founder, Healthcare App",Health Care,1-10 Employees,"Houston, Texas",
Application Development for Startup Medical Company,Development,"$50,000 to $199,999",Mar. 2015 - Ongoing,"Mobisoft is developing a cloud-based app to guide surgery patients and their nurses through procedures and recovery. The platform is compatible with Windows, iOS and Android platforms.Mobisoft is developing a cloud-based app to guide surgery patients and their nurses through procedures and recovery. The platform is compatible with Windows, iOS, and Android platforms.",Cody Menard,"CTO, Startup Medical Company",Computer Software,1-10 Employees,San Francisco,
Mobile App Development for Investment Source,Mobile App Development,Confidential,None,"Mobisoft Infotech completed end-to-end design and development of a multi-platform app for iPhone, iPad, Android, Android tablet, and Kindle platforms.",None,"CEO, Investment Source",Financial Services,51-200 Employees,"Woodstock Valley, Connecticut",
Mobile App Development for Private University,Mobile App Development,Confidential,None,Mobisoft Infotech collaborated on a mobile health app and a corresponding product video within a tight budget. The app features an intuitive interface that informs users about their health.,None,"John McDevitt, Private University",Medical Research,"10,001+ Employees",Houston Metro Area,
Android Dev for Senior Citizen Geared Operating System ,Mobile App Development,"$200,000 to $999,999",None,Mobisoft Infotech provided Android backend development and coding services. The agency focused on improving usability for senior citizens.,None,"Founder, Startup Technology Firm",Technology,1-10 Employees,"Charlotte, North Carolina",
Energy Efficiency Mobile Apps,Mobile App Development,"$200,000 to $999,999",2009 - Ongoing,Mobisoft developed a visually complex cloud-based app for iPad and Android. They have since completed various other projects for the client.,None,"Director of Engineering, Mobile App Firm",Computer Software,51-200 Employees,San Diego Metro Area,
School Collaboration Mobile Development,Mobile App Development,"$50,000 to $199,999",None,"Using the client's web portion and part of the server, Mobisoft Infotech completed the development of a mobile app, a website, and the remainder of the server. The app was developed for iPad, iPhone, Android, web, and Facebook.",None,Educational Software Publisher,Education,Small business,"Plano, Texas",
iOS & Android App Dev for Polling Company,Mobile App Development,"$10,000 to $49,999",Oct. 2016 - Ongoing,"Space-O Technologies developed beta apps on native iOS and Android platforms. After a collaborative design process, they did QA and QC. The teams revised data and added functionalities since the beta launch.",Ashish Fernandez,"CEO, Thirdegree Inc.",Online Media,1-10 Employees,"Calgary, Canada",
Mobile App Development for EMR Healthcare Startup,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"After completing the MVP for a medical records app, Space-O Technologies continues ongoing revisions. With feedback from the apps target user base, they have made 16 updates in six months to improve usability.",None,"CEO, EMR Healthcare Startup",Healthcare,1-10 Employees,India,
HIPAA Compliant iOS & Android App Dev for Healthcare ,Mobile App Development,"$200,000 to $999,999",April 2015 - Oct 2017,Space-O Technologies developed a mobile app (iOS and Android) that allowed insured customers to access doctors virtually. A database was also built to maintain HIPAA compliant information on the backend.,None,"CTO, Healthcare Advisory Company",Hospital & Health Care,1-10 Employees,"Cornelius, North Carolina",
Outsourced Mobile App Dev for IT Consultancy,Mobile App Development,"$10,000 to $49,999",Jan. 2016 - Ongoing,"Tasked with developing a mobile app for Android and iOS, Space-O Technologies worked on the front and back end, API, QA testing, and graphic design. The team continues to work on additional features of the app.",None,"Founder, Tabbica Technologies",IT Services,1-10 Employees,"Miami, Florida",
Augmented Mobile App Dev for Mobile App Firm,Mobile App Development,"$200,000 to $999,999",May 2014 - Ongoing,"Space-O Technologies augments the in-house dev teams work. Theyre given design and technical background, and the team executes exactly whats asked of them, resulting in a continued partnership.",None,"CTO, Mobile App Firm",Entertainment,1-10 Employees,"Los Angeles, California",
Dynamic Messaging Mobile App Dev,Mobile App Development,"$50,000 to $199,999",Oct. 2016 - Sep. 2017,"Space-O Technologies provided mobile app development for a revolutionary messaging app for both iOS and Android devices. They helped create wireframes and the UX, delivering a complete product and support.",None,"CEO, Messaging Platform",Computer Software,1-10 Employees,"Washington, DC",
Logo Design & Web Dev for Car Inspection Service Company,Web Development,Confidential,May 2016 - Ongoing,"Space-O Technologies developed and designed the website for a car inspection firm based in France, including all backend and frontend work. The website is automated to receive and handle customer inquiries.",None,"Manager, Car Inspection Service Company",Automotive,1-10 Employees,France,
Solution Dev for Computer Systems Company,Custom Software Development,Confidential,Apr. 2016 - Ongoing,"Space-O developed a web-based software solution for a technology startup, from proof of concept to the testing stage. It used a Yii PHP framework in the backend, and is hosted on Amazon Web Services.",None,"General Manager, Computer System Company",IT Services,1-10 Employees,Kuwait,
iOS & Android Developed Solution for Wellness Initiative,Mobile App Development,"$10,000 to $49,999",Mar. 2015 - Ongoing,"Space-O Technologies built a nutritional tracking mobile app by assigning separate iOS, Android, and backend teams to conduct development and database integration. They now handle feature additions and fixes.",None,Co-Founder,Healthcare & Medicine,11-50 Employees,Sweden,
iOS Development for Consumer Products Startup,Mobile App Development,"Less than $10,000",None,Space-O assisted with the development of a native iOS app that allowed for custom postcard printing. Projectsfocused on back-end work and integration of a pre-existing user interface.,None,"Founder & CEO, Consumer Products Startup",Consumer Products,1-10 Employees,San Francisco Bay Area,
iOS App for Virtual Video Technology,Mobile App Development,"$10,000 to $49,999",Mar. - June 2018,Apadmi developed and launched an iOS app with virtual video content. They did R&D and built integrations for web services and a software development kit.,Chris Young,"VP Engineering, Linius Technologies Limited",Media ,11-50 Employees,"Melbourne, Australia",
App Dev and Design for Rail Worker Safety ,Mobile App Development,"Less than $10,000",Nov. 2017 - Mar. 2018,"Apadmi designed, developed, and launched a mobile app for workplace safety complaints. They worked off initial plans for the icon and home screen, and created a photo upload feature. Its in soft launch.",Rebekah Valero-Lee,"Head of Marketing, Morson Group",Business Services ,"501-1,000 Employees",Manchester,
Web Dev for Tech Marketing Company,Web Development,"$1,000,000 - $9,999,999",Jan. 2017 - Ongoing,"Adapmi offered ideas to shape a companys vision for a new software. After drafting a detailed requirements and definition document, the team developed the entire system and continues to add improved features.",Shahzad Mughal,Founder & CTO,Advertising & Marketing,2-10 Employees,Brazil,
UI/UX Design for Helicopter Booking Site ,UI/UX Design,"$10,000 to $49,999",None,"Apadmi provided in-depth UI/UX design for an aviation booking and payment website, transforming the MVP into a responsive and contemporary platform for desktop, tablet, and mobile.",Andy King,"CEO & Co-Founder, Flyt Aviation",Aviation ,1-10 Employees,"London, United Kingdom ",
Mobile App Dev for Live Music Streaming Platform,Mobile App Development,"$50,000 to $199,999",Jan. 2017 - Ongoing,"Apadmi utilized Xcode, Firebase, and Java to build mobile apps for iOS and Android, as well as a web-based content management system and internal software, for a music streaming service.",Matthew Walsh,"CEO, Beatstream Media",Music,11-50 Employees,"Manchester, United Kingdom",
Mobile App Development for Store Card,Development,Confidential,Jan. 2016 - Ongoing,Apadmi developed an app that allows users to purchase products and manage theircard accounts for a large digital retailer. This included everything from UX design to development and testing.,None,"Channel Manager, Argos Financial Services",Retail,"10,001+ Employees",United Kingdom,
App Development for Property Portal,Mobile App Development,"$200,000 to $999,999",Jan 2015 - Ongoing,Apadmi developed iOS and Android apps that allow their users to find properties and contact real estate agents. They also helped to strategize the marketing of these apps.,Gareth Penpraze,"Project Manager, PropertyPal.com",Real Estate,11-50 Employees,"Belfast, United Kingdom",
Loyalty App Development for Sports Consultancy,Development,"$200,000 to $999,999",None,"Apadmi is developing a loyalty app on a very aggressive turnaround time. Due to the competitive nature of the industry, it is critical that the app function flawlessly at release.",Rick Parry,"Shareholder, Soccer Consultancy",Media,11-50 Employees,"Manchester, UK",
Custom Mobile Application Development For Scientific Institution,Mobile App Development,"$10,000 to $49,999",None,"Apadmi built a mobile app version of a radiology guide that works on a question-answer format. The project involved consulting, requirements gathering, andfunctional back-end development.",Sophia Anderton,"Head of Publishing, The British Institute of Radiology",Nonprofit,11-50 Employees,"London, United Kingdom",
App Development for Large Museum ,Mobile App Development,"$50,000 to $199,999",None,Apadmi built a companion app for a special exhibit. They followed specific brand and flash design guidelines to create the functionalities and general UI. They developed the app for iOS and Android platforms.,None,"Web Manager, Large British Museum",Museums & Institutions,501-1000 Employees,"London, United Kingdom",
Mobile App Dev for Healthcare Professionals App,Mobile App Development,"$1,000,000 - $9,999,999",May - Dec. 2017,Robosoft Technologies updated a mobile app with improvements and added features. They built a newsfeed with multimedia content and interactive functionalities. The team also implemented new analytics tracking.,Al Bhattacharya,"Head of Product, Epocrates",Computer Software,51-200 Employees,"San Mateo, California",
Web & Native Mobile App Dev for Job Seeking Platform,Mobile App Development,"$50,000 to $199,999",Apr. - Dec. 2017,"Robosoft designed and developed a maps-based, Google-based web app and native mobile apps for Android and iOS.",Rahul Lal,"CEO, i12WRK App",Staffing & Recruiting,1-10 Employees,"Dubai, United Arab Emirates",
Mobile App Maintenance for Business Communication App,Application Management & Support,"$50,000 to $199,999",Aug. 2017 - Ongoing,Robosoft completed coding for a chat and video-conferencing app aimed at helping businesses communicate with employees. They handled iOS and Android development as well as back-end administration.,Rich Salt,Consultant,Information Technology and Services,11-50 Employees,"Liverpool, United Kingdom",
Automated Software Dev for Medical University,Custom Software Development,Confidential,Apr. 2014 - Ongoing,Robosoft Technologies created a custom university management system to improve operational efficiency and simplify internal workflows. They now provide enhancements and mobile app development.,Naseeruddin Patel,"IT Manager, RAK Medical & Health Sciences University",Higher Education ,201-500 Employees,"Ras Al Khaimah, UAE",
App Development for Software Company,Mobile App Development,"$200,000 to $999,999",2015 - Ongoing,"Robosoft developed multiple apps with a variety of features, including health tracking, backend database integration, GPS tracking, video, and UX optimization.",Santosh Udupi,"Vice President, Softura",Computer Software,51-200 Employees,"Farmington Hills, Michigan",
App Development for Digital Wellbeing Trainer,Mobile App Development,Confidential,Nov. - Dec. 2016,Robosoft developed an iOS and Android app to support the client's responsive website in preparation for their launch.,David Bogdonoff,"Director of Product, Whil","Health, Wellness, and Fitness",11-50 Employees,"San Francisco, California",
App Development for Call Recording Startup,Mobile App Development,"$50,000 to $199,999",Jun. - Dec. 2016,"Robosoft Technologies developed a mobile app for the client's platform, which offers a complex array of recording and managing tools for a user's personal archive of phone calls.",Chris Jackson,"CTO, Dubber",IT Services,11-50 employees,"Melbourne, Australia",
Web Design & App Development for Self-Help Website,Mobile App Development,"$10,000 to $49,999",Apr. 2016 - Ongoing,"Robosoft is building a website and helping with marketing for the client, who plans on continuing to work with Robosoft for app development.",None,"Founder, Self-Help Website",None,None,None,
Mobile App Development for Advertising Agency,Mobile App Development,"$200,000 to $999,999",2015 - Ongoing,Robosoft provided end-to-end development of a mobile app with a quick turnaround time.,None,"Creative Technology Director, Advertising Agency",Advertising/Computer Software,501-1000 Employees,Denver Metro Area,
App Development for Bot & Messaging Platform,Mobile App Development,Confidential,2014 - Ongoing,"Robosoft improved the UI, UX, and coding of the client's mobile apps, primarily the design and develpment of the client-side app. They started with the iOS version, and the client later added the Android version.",None,"VP Engineering, Bot & Messaging Platform",IT,51 - 200 Employees,"Mumbai Area, India",
Web Design for Computer Networking Company,Web design,Confidential,Sept. 2017 - Ongoing,"Impekable developed wireframesand then created a modern and futuristic design for an existing website, focusing on the homepage.",None,"Digital Production Manager, Network Solutions Provider",Computer Networking,"1,001-5,000 Employees","San Jose, California",
iOS & Android App Dev for FinTech Company,Mobile App Development,Confidential,Mar. 2016 - Dec. 2017,Impekable provided mobile development staff augmentation to expedite a projects timeline. Developers expertly coded iOS and Android versions of a mobile app with a complex interface using Swift and Java.,None,"Sr. Director of Engineering, FinTech Company",Financial Services,501-1000 Employees,"San Francisco Bay Area, California",
Mobile UX/UI & Illustration for Dating Service,UI/UX Design,Confidential,Jan. - Dec. 2016,"Impekable developed illustrations and designed custom, mobile app features for iOS and Android, providingusable files that could be made live by engineers.",Bryan Welfel,"Co-founder, JSwipe",Internet,11-50 employees,"New York City, New York",
Web App Dev & Design for Machine Learning Company,Web Development,"$50,000 to $199,999",June 2016 - Ongoing,"Impekable designed and implemented JavaScript for anappsweb UI/UX,usingReact andNode.js, as well asInVision for screen collaboration.Features include embedded video, photos,and search.",None,"Co-Founder, AI Company",IT Services,1-10 Employees,"Sunnyvale, California",
Product Dev & UI Design for Technology Company,Custom Software Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,"Impekable assisted in UI and provided design feedback, based on some initial specs, to a development team working on an SaaS management tool.",None,New Ventures Lead,Computer Software,"10,000+ Employees","Foster City, California ",
MVP Development for HR Tech Startup,Mobile App Development,"$50,000 to $199,999",Mar. 2017 - Ongoing,"Impekable first scoped the project and the product's design. The assembled dev team then built the platform from scratch, whichstreamlines employee/employer reviews and aggregates the data into useful metrics.",None,CEO,Human Resources,1-10 Employees,"San Francisco, California",
Enterprise Dev for Internet Company,Custom Software Development,Confidential,Nov. 2016 - Ongoing,"Impekable'sresources help internal developers with project overflow, often receiving complex and high-priority tasks.",None,"Sr. Director, Internet Company",Internet,501-1000 Employees,"San Jose, California",
Web Application Development for Legal Company,Development,"$10,000 to $49,999",2016,"Impekable developed a web app using CSS, InVision mockups, JavaScript, and Node.js, that allows users to search for existing patents. The project has been put on hold for budget reasons, unrelated to Impekable's performance.",Bebe Chueh,"Chief Marketing Officer, LegalZoom.com",Legal Services,51-200 Employees,"Los Angeles, California",
Android Prototype Development for Computer Software Firm,Mobile App Development,"$200,000 to $999,999",Apr. 2015 - Ongoing,"Impekable was hired to support user interface design efforts, which then evolved into a full-scale Android dev project. The engagement remains ongoing.",Trevor Fiatal,"CTO, Betcade, LLC",Computer Software,11-50 Employees,San Francisco Bay Area,
UI/UX Design for Multinational Tech Firm,UI/UX Design,"$200,000 to $999,999",2012 - Ongoing,Impekable was first hired to design the user experience for a conceptual product. Their performance led to ongoing involvement.,None,Senior Director of Emerging Technology,Information Technology,"10,001+ Employees",San Francisco Bay Area,
iOS Development for Community Travel App Development Company,Mobile App Development,"$50,000 to $199,999",May 2017 - Jan. 2018,"Magora worked on the iOS version of an application, providing backend development services with Java. They included features such as integrated maps, currency converters, and reviews.",None,"Managing Director, Community Travel App Development Company",IT Services,1-10 Employees,Singapore,
UI Design for Social Network Platform,UI/UX Design,"Less than $10,000",Feb. - Mar. 2018,"Magora provided design solutions for a social networking iOS app. Working from written guidance, they developed the apps UI design, including visual elements, layout, and logo options.",None,"CEO, Internet Company",Internet,1-10 Employees,"London, United Kingdom",
Discovery Phase & Prototype for Healthcare Staffing Platfrom,Custom Software Development,"Less than $10,000",Dec. 2017 - Ongoing,Magora developed the visual prototype and wireframe for a mobile app.,None,"Founder, Tech Startup","Health, Wellness & Fitness",1-10 Employees,United Kingdom,
Web Dev for Cryptocurrency E-Commerce Platform,Web Development,"$50,000 to $199,999",June 2017 - Ongoing,"Magora is rebuilding an ecommerce site to be more customizable and secure using the LAMP model. They are coding it with C++, PostgreSQL, Java, and Python.",None,"VP of Operations, E-Commerce Platform",Consumer Services,11-50 Employees,California,
MVP Dev for Online Educational Platform,Web Development,"$50,000 to $199,999",Aug. 2016 - Oct. 2017,"Magora created an MVP for an educational startup, using Agile methods for development. The platform itself was created with .NET and React.js, with features including maps, payments, and scheduling.",Natalia Rozova,"Project Manager, Eurekly",E-Learning,1-10 Employees,New Zealand,
Web & Mobile App Development,Development,"$50,000 to $199,999",Aug. 2016 - Aug. 2017,"Magora developed a custom application for Windows as part of a telephone system. They used the systems APIs, designed the applications look and feel, and developed its functionality and user input interface.",None,"Lead Developer, Integrics",Telecommunications,None,"Auckland, New Zealand",
Mobile App Dev for Restaurant Chain ,Mobile App Development,"$10,000 to $49,999",July 2017 - Ongoing,"Magora built an iOS app to streamline ordering food. The app functions in real time and has three interfaces: admin control, customer, and chef, depending on the user.",None,"Operations Manager, Restaurant",Food & Beverages,201-500 Employees,Australia,
Mobile App & Backend Dev for Parking Locator Platform,Mobile App Development,"$50,000 to $199,999",June - Oct. 2015,"Magora was the full-scope developer for a parking spot app, natively built for iOS and Android. They were responsible for the database, backend, and infrastructure, as well as finding a hosting solution.",None,"Co-Founder, Parking Guide App",Transportation,1-10 Employees,"San Francisco, California",
Custom Software Dev for Hedge Fund Management Company,Custom Software Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,"Magora developed a custom software program that displays data in the form of tables and graphs. The product was required to be safe, secure, and appealing to a wide user demographic.",None,"Head of Research & Development, Financial Products Firm",Financial Services,51-200 Employees,United Kingdom,
Outsourced Dev for Data Analysis Company,BI & Analytics,"$50,000 to $199,999",Apr. 2015 - Jan. 2017,Magora partnered with a data analysis company to provide programming resources for web interface data displays. The programmer provided reporting support and interface design creation.,None,"Director, Vessel Performance Solutions",Maritime,1-10 Employees,"Kgs Lyngby, Denmark",
iOS & Android App for Property Management Service,Mobile App Development,"$200,000 to $999,999",May 2017 - Jan. 2018,"Using open source software, iTechArt developed a native mobile app for both iOS and Android. They also developed an API to integrate with property management hardware such as cameras.",Guy Blachman,"CEO, Carson Living, Inc",Computer Software,11- 50 Employees,"New York, New York",
Web Application Dev for Financial Service Firm,Web Development,"$200,000 to $999,999",Apr. 2017 - Ongoing,"iTechArt Group took a minimum viable product and built a web app thats ready for market. They utilized Scala, Swagger, Ahkka, and Slick to deliver a payment processing platform with isolated modules.",None,"Director of Engineering, Financial Services Company",Financial Services,11- 50 Employees,"New York, New York",
White Labeled MVP Web App Dev for Recruiting Company,Web Development,"$50,000 to $199,999",Oct. 2017 - Jan. 2018,"iTechArt built a MVP for a complex application to streamline the recruitment process. They worked from third-party wireframes to create the initial, web-based version of the product.",None,"Director, Software Development Firm ",Computer Software,1-10 Employees,New Zealand,
iOS & Android Dev for Networking Company,Mobile App Development,"$200,000 to $999,999",Aug. 2014 - Ongoing,"iTechArt developed iOS and Android platforms, from prototype to final product. Features include a data analysis algorithm, feed personalization, and third-party API integration.",None,"CEO, Networking Company",IT Services,1-10 Employees,"San Francisco, California",
Frontend & Backend CSS Web Dev Augmentation Team,Web Development,"$10,000 to $49,999",June - Dec. 2017,"iTechArt performed frontend and backend development to create a video tutorial production platform, including scripts, an interface, and database. The site offers volume purchase and discount options.",None,"CEO, CGCircuit LLC",E-Learning,1-10 Employees,"Los Angeles, California",
Supplementary Software Development for Development Studio,Development,Confidential,Dec. 2016 - Nov. 2017,iTechArt provided supplemental organization and R&D resources for AI and VR projects. Cutting-edge research on voice agent products and expected 10x ROI for start-up sale makes future partnerships likely.,Paul Steckler,"Founder & Senior Partner, Ramp Catalyst",IT Services,1-10 Employees,"Seattle, Washington",
Refactoring of Medical Messaging & Staff Augmentation,Web Development,Confidential,Mar. - Aug. 2017,"iTechArt augmented a healthcare communication company's team to migrate its softwareto a new platform. Using JavaScript and RESTful APIs, they refactored software, upgraded interfaces and DevOps, and fixed bugs.",None,"Employee, IT Service Company",IT Services,51-200 Employees,"Santa Monica, California",
Telecommunication Mobile App Dev ,Development,"$50,000 to $199,999",Nov. 2016 - Feb. 2017,iTechArt developed and tested a custom dialer app that provides users with a dedicated business telephone number. The team worked with an in-house designer to build the app for iOS and Android.,David Dawson,"CTO, Mast Mobile",Computer Software,11-50 Employees,"New York City, New York",
Development Staff Augmentation for Consulting Firm,Staff Augmentation,"$50,000 to $199,999",Oct. 2012 - Ongoing,iTechArt works often as GFData Corps technology partner and go-to vendor providing both backend & frontend development and support. A recent project required a staff increase to grow capacity.,Glenn Ferrie,"CEO, GFData Corp",Information Technology and Services,1-10 Employees,"Bellmore, New York ",
Python Marketplace Platform Dev for Trading Platform,Development,Confidential,Nov. 2016 - Ongoing,"iTechArt provides full-stack Python-based development for a multi-platform marketplace app, transitioning the existing MVP to a scalable, end-to-end trading solution with secure verification measures across multiple releases. ",None,"Co-Founder & Product Lead, Online Trading Platform",Financial Services,1-10 Employees,"New York, New York",
Web & Mobile App Dev Projects for Sea Plane Operator,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,"Two Tall Totems improved an existing iOS travel app, and are now supporting that app and configuring it for Android. They also developed an iPad task-tracking app from scratch and maintain the customer website.",Thomas Muller,"IT Manager, Harbour Air Seaplanes",Airlines/Aviation,51-200 Employees,"Vancouver, Canada",
React Native iOS & Web App Dev for Healthcare Company,Web Development,"$200,000 to $999,999",Sep. 2016 - June 2017,Two Tall Totems delivered a web platform and a native iOS application prototype for a health venture creation company. The back- and frontend were built using Apache Cassandra and React Native respectively.,Warren Templeton,"Head of Product, Health2047","Health, Wellness and Fitness",11- 50 Employees,"Menlo Park, California",
iOS and Android Mobile App for Online Dating Company,Mobile App Development,"$50,000 to $199,999",Jan. 2016 - Jan. 2017,"Two Tall Totems created a dating app for iOS and Android based on a pre-existing web-based prototype. They offered a full range of services, including design, development, implementation, and hosting.",Erynn Tomlinson,"Former CEO, SuperDate",Computer Software,1-10 Employees,"Vancouver, Canada",
Custom Software Dev for Enterprise Acceleration Program,Custom Software Development,"$200,000 to $999,999",June 2017 - May 2018,"Two Tall Totems modernized a .NET software platform as a third-party vendor. They made the desktop application responsive, rebuilt the frontend, and developed an API to accommodate the new external interface.",None,"Former VP of Operations, Business Acceleration Organization ",IT Services,11-50 Employees,"Vancouver, Canada",
Feedback App Development for Real Estate ,Mobile App Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,"Two Tall Totems created an iPhone app, providing a large swath of services including conceptual design, testing, and hosting. The app features email and report capabilities that can be sent to many parties.",Shane Gray,"Realtor, Shane Gray Realty",Real Estate,1-10 Employees,"Vancouver, Cananda",
Backend Mobile App Dev for Development & Design Firm,Mobile App Development,"$50,000 to $199,999",Jan. 2012 - Ongoing,"Two Tall Totems have a long-term, ongoing development partnership, working to create mobile applications for third-party clients. They work on Android and iOS, building the backend of the products.",Kevin Howe,"Owner, Three29",Design,11-50 Employees,"Sacramento, California",
Mobile App Dev for Online Marketplace,Mobile App Development,Confidential,Sept. 2017 - Jan. 2018,"Using React Native, Two Tall Totems designed and developed a marketplace app for iOS and Android. Features include PayPal linked purchasing and login verification through social media accounts.",Hwan Son,"CEO, Urbanity Marketplace",IT Services,1-10 Employees,"Vancouver, Canada",
Android & iOS App Dev for Retail Software Company,Mobile App Development,"$50,000 to $199,999",Oct. 2015 - Feb. 2017,"Two Tall Totems developed scalable Android and iOS applications that integrated with aPOS, e-commerce backend, and multiple APIs. The app helped users manage memberships and loyalty points.",Ricardo Rosado,"Director of Marketing, Fusion Software",Computer Software,1-10 Employees,"Vancouver, Canada",
iOS and Android Dev for Educational Tech Company,Mobile App Development,"$10,000 to $49,999",Apr. 2014 - Apr. 2018,Two Tall Totems built an app for iOS 7 and Android in sequential order. The team then updated the former for iOS 10.,Behzad Soltani,"Founder, Nurdture Creative Solutions",Education,1-10 Employees,"Vancouver, Canada",
iOS & Android Development for Custom Wireless Headphones App,Mobile App Development,Confidential,Aug. 2016 - Sept. 2017,"Two Tall Totems developed an app for iOS and Android, focusingonuser experience management. They created acustomization process that enables wireless communication between users and the product.",None,"Co-Founder, Custom Headphones App",Information Technology,1-10 Employees,"Montreal, Canada",
Web App Design & Dev for Venture Capital Firm,Mobile App Development,"$50,000 to $199,999",Apr. 2014 - Apr. 2016,Sidebench designed and developed three web applications tofacilitateinteractions between networks of clients. The apps are mobile responsive and integratewithGoogle and Bing.,None,"Former Partner, Executive Talent, Venture Capital Firm",Venture Capital & Private Equity,51-200 Employees,"Menlo Park, California",
Mobile App Dev for Health Insurance Company,Mobile App Development,"$1,000,000 - $9,999,999",2015 - Ongoing,"Sidebench developed iOS and Android mobile apps, managing the frontend, backend, and internal application integration. They continue to iterate and maintain the platforms.",Michael Deering,"CIO, Inland Empire Health Plan",Hospital & Health Care,"501-1,000 Employees","Los Angeles, California",
Product Roadmap Dev for Medical Technology Solutions Startup,Development,"$10,000 to $49,999",Oct. 2017 - Ongoing,Sidebench provided business strategy and research services for a medical tech company looking to scale up. They performed an architectural review of existing software and devised marketing and growth plans.,None,"Co-Founders, RobustForLife",Medical,51-200 Employees,"Los Angeles, California",
Web Dev & UI/UX Design for Media Conglomerate,Web Development,"$50,000 to $199,999",Jan. - May 2016,Sidebench developed the UI/UX design of a new website to consolidate a larger online presence. They collaborated on mockups through several iterations and presented to executive-level staff for approval.,None,"VP, Global Media Operations, Media Company",Entertainment,"10,000+ Employees","Los Angeles, California",
iOS Mobile App Dev & Design for Health & Fitness Program,Mobile App Development,"$200,000 to $999,999",July 2017 - Ongoing,"After many concept workshops, Sidebench is developing a health and fitness app for iOS while providing the design work. The app is rife with content and features unique fitness evaluation capabilities.",Lauren Jenai,"CEO, Manifest","Health, Wellness, & Fitness",1-10 Employees,"Portland, Oregon",
UI/UX Re-Design for Online Healthcare Booking Platform,UI/UX Design,"$10,000 to $49,999",Aug. - Sept. 2017,"Sidebench provided UX/UI for an online booking engine in the healthcare sphere. Working within a highly regulated vertical, they built the new product through an iterative process.",None,"Co-Founder, Online Booking Engine","Health, Wellness, & Fitness",1-10 Employees,"Los Angeles, California",
