Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
Learning Platform and Courseware Development for University,Web Development,Confidential,July 2012 - Jan. 2015,"Ripe Media designed and developed a massive experiential e-learning platform over more than two years. Beyond core coding and UX design work, they built subscription and user data reporting features.",None,"Director of Online Education, Private University",Education,51-200 Employees,Santa Monica
Branding and Web Design for Care Consulting Institute,Branding,"$10,000 to $49,999",May - Nov. 2015,"Ripe Media provided a strategic name change and rebrand in order to reach a broader customer base. Services included web development, logo design, content creation, and guidelines for future marketing.",None,"Program Manager, Patient Care Institute",Program Development,11-50 Employees,Los Angeles Metro Area
Loyalty Program Mobile Application,Mobile App Development,"$10,000 to $49,999",Aug. 2017 - Ongoing,"Osellus Mobile developed a loyalty program, member-facing mobile app (iOS & Android) from scratch. The app enables usersto accrueand redeem loyalty points and unlock achievements.",Chris Zegers,"VP of Client Delivery, Lucidia",Marketing and Advertising,11-50 Employees,"Toronto, Canada"
Insurance App for Billing & Coverage Information,Mobile App Development,Confidential,None,"Osellus custom built an app from scratch for Android, Windows, and iOS devices to provide our insurance customers a variety of mobile features and services.",None,"Application Development Manager, Insurance Company",Insurance,201-500 Employees,"Seattle, Washington"
Mobile App for Webinar and Course Scheduling Services,Mobile App Development,"$200,000 to $999,999",Jan. 2012 - Ongoing,"Osellus built 2 applications for iOS and Android. The first has a web portal associated with it, and the second has a website associated with it due to popular demand. The relationship is ongoing.",None,"Senior Manager, Computer Networking Firm",Computer Networking,"10,000+ Employees",New York Metro Area
Android Application Development For Payment Service ,Development,"$50,000 to $199,999",None,Osellus Mobile designed a mobile card payment app that runs on Android tablets. The app allows users to interact remotely with their cards byplacingmoney on them and tracking purchases.,Barry Williams,"Chief Technology Officer, sQuidCard",Information Technology and Services,11-50 Employees,"Ontario, Canada"
Application Development For Pitney Bowes,Development,"$200,000 to $999,999",July 2013 - Ongoing,"Osellus Mobile built a globally-deployedCMS andiPad and Windows apps to organize and update sales content. It candistributevideos, brochures, and other marketing collateral to representatives.",None,"Former VP of Marketing, Pitney Bowes",IT Services,"10,001+ Employees","New York, New York"
Google Glass App Dev for Media Provider ,Mobile App Development,"$50,000 to $199,999",Jan. - Aug. 2013,Perpetual designed and developed an app for Google Glass when the technology was still in its beta stage. They also helped to build a new form factor for the app's content.,None,"Director of R&D, Media Provider",Media,51-200 Employees,"New York, New York"
Web Platform Development for Financial Services Firm,Development,"$10,000 to $49,999",Jan. - July 2015,"Perpetual worked on UI/UX design and web development, using Ruby on Rails based on Amazon Web Services. They worked with available APIs and embedded video players. ",None,"Product Manager, Financial Services Firm",Financial Services,11-50 Employees,"London, United Kingdom"
Web Dev & Design for VR Shopping Startup ,Development,"$10,000 to $49,999",Dec. 2017 - Feb. 2018,Perpetual built a design-oriented WordPress website with videos and virtual reality features and implemented a custom 360 viewer for desktop and mobile. They also implemented SEO and an SEO plug-in.,Neha Singh,"CEO, Obsess",IT Services ,11-50 Employees,"New York, New York"
Australian Army Education Platform,Custom Software Development,"$10,000 to $49,999",July 2016 - Feb. 2017,"Perpetual designed and developed an online course prototype interface. The team worked on a tight schedule to design and develop an instructor interface, video capabilities, and test options.",Mark Wales,"CEO, WhetstoneX",Education,1-10 Employees,"Melbourne, Australia"
UI Redesign for Financial Services Firm,UI/UX Design,Confidential,Aug. 2017 - Ongoing ,"Having developed mockups and a UI for a .NET-based, real-time news services application, Perpetual is currently assisting in QA testing of the platform.",None,"Product Management, Financial Services Firm",IT Services ,"501-1,000 Employees","New York, New York"
Custom Software Dev for the Client of Information Security Startup,Custom Software Development,"$10,000 to $49,999",Aug. - Dec. 2016,Perpetual worked on a custom software development project for a third party information security product. The software monitored data and ensured the data was secured and encrypted.,None,"Cofounder, Information Security Startup",IT Services ,11-50 Employees,"New York, New York"
Online Learning Platform for English Language Education Training ,Custom Software Development,"$50,000 to $199,999",June 2017 - Ongoing ,"Perpetual is customizing an Open edX English language learning platform. Users are able to receive personalized and auto-generated content in Vietnamese, and parents are able to track student progress.",None,"Cofounder, Yola Institute ",Education,11-50 Employees,"Ho Chi Minh City, Vietnam"
Outsourced Software Dev for Education Technology Company,Custom Software Development,"$10,000 to $49,999",Apr. - July 2016,Perpetual integrated existing functionality and an API into an edX XBlock. They also assisted with multilingual support to facilitate the apps transition and internationalization.,Matt Jaeh ,"CTO, ProctorU",Education,11-50 Employees,"Birmingham, Alabama"
Web Dev & Design for E-Commerce Furniture Startup,Web Development,"$50,000 to $199,999",July 2017 - Ongoing,"Perpetual provided both frontend and backend development for an e-commerce site. They used a Shopify framework, but added a number of custom features on top of the standard template.",None,"Product Manager, E-Commerce Furniture Startup",Consumer Goods,1-10 Employees,"New York, New York"
Outsourced Software Dev for Custom Software Consulting Firm,Custom Software Development,"$10,000 to $49,999",Aug. - Dec. 2015,"After building a prototype and deciding the project required extra manpower, Perpetual was hired to buildout and customized edX software on behalf of the in-house developer.",Paul Tannenbaum,"Owner, Baumer Designs LLC",IT Services ,1-10 Employees,"Santa Barbara, California"
Strategy and Web Development for Curated Content Site,Development,"$10,000 to $49,999",Mar. 2017 - June 2017,"Heady converted a dysfunctional, unattractive website to Wordpress, providing design and development consultation and execution.",None,"Founder , Motherhoodstudio",None,1-10 Employees,"Stockholm, Sweden"
App Maintenance for Hotel Management Company,Mobile App Development,"$200,000 to $999,999",2017 - Ongoing,Heady took over app maintenance and minor enhancements after another firm developed the app. They improved location-based services and enhanced users customizable settings.,None,"Director, Quality and Brand Experience, Hotel Management Company",Hospitality ,"501-1,000 Employees",Texas
Mobile App Development for Waste Removal Company,Mobile App Development,"$50,000 to $199,999",2017 - Ongoing,"Heady designed and developed a web and mobile (iOS and Android) app, including an internal and consumer-facing platform. Following an MVP, their team continues to iterate and develop the technology. ",Michael Marmo,"Founder, Curbside",IT Services ,11-50 Employees,"Brooklyn, New York"
Mobile App Dev & Maintenance for Bridal Store,Mobile App Development,"$200,000 to $999,999",June 2017 - Ongoing ,"Heady's team maintains, updates, and adds to previously built code of a mobile app (iOS and Android). They assistin the build out of certain features, including quizzes and e-commerce capabilities.",None,"Product Manager, Bridal Store",Consumer Goods,201-500 Employees,"Philadelphia, Pennsylvania"
App Development for Audition Startup,Mobile App Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"Heady designed and built an MVP to attract potential investors, collaboratively strategizing possible screens and iterating a preliminary version of the app. They now manage enhancements.",Jordana Grolnick,"Founder, Monitor","Arts, Entertainment, & Music",1-10 Employees,"New York, New York"
Android App Dev for Consumer Marketplace Startup,Mobile App Development,"$50,000 to $199,999",Oct. 2016 - Ongoing ,"Heady helped develop an Android app for a startup that created an online marketplace for gift card resale. Specifically, they worked on the apps UX and landing pages.",None,"Head of Mobile, Consumer Marketplace Startup",Internet ,201-500 employees,"New York, New York"
iOS & Android Dev for IT Solutions Firm,Mobile App Development,"$50,000 to $199,999",Mar. - Aug. 2017,"Mobter redesigned a nativee-signature application for iOS and Android. They also improved its security, developed the app's graphic interface, and simplified itsUX.",None,"Research & Development, IT Services Company",IT Services,501-1000 Employees,"Gdynia, Poland"
UI/UX Design & Native Mobile App Dev for Polish Retail Bank,Mobile App Development,"$1,000,000 - $9,999,999",2012 - Jan. 2018,"Mobter designed, developed, tested, and now workon the maintenance of an iOS and Android mobile banking application. They continue to add functionalities and fix any issues or bugs.",None,"IT Director, Euro Bank",Banking,"501-1,000 Employees","Wrocaw, Poland"
Complex Web App for HVAC Systems Testing,Custom Software Development,"$200,000 to $999,999",Sept. 2013 - Apr. 2016,"Hashrocket developed a web-based application to help HVAC contractors measure the performance of HVAC systems. Key features include air testing, calculators, admin panels, and customizable reports.",Steven Holt,"Product Manager, National Comfort Institute",Professional Training,11-50 Employees,"Sheffield Lake, Ohio"
Full Stack e-Commerce Development for Watch Retailer,E-commerce Development,"$50,000 to $199,999",July 2016 - Feb. 2017,"Hashrocket streamlined the frontend and backend of an e-commerce website, quickly fixing ordering issues related to a dual system setup after competitors failed to deliver.",Stephanie Lauridsen Smith,"Communications Manager, Wingate's Quality Watches",Retail,1-10 Employees,"Dallas, Texas"
Ruby on Rails Redevelopment for Social Engagement Tool,Development,"$50,000 to $199,999",Apr. - Sept. 2016,Hashrocket replaced a string of developers to help repair and greatly improve the features of a social media engagement platform built in Ruby on Rails.,Elizabeth Aris,"CEO, MOSH",Marketing,11-50 employees,New York City Metro Area
Development for Mobile Hashtag Platform,Development,"$200,000 to $999,999",None,"Hashrocket helped to develop a platform usingRuby on Rails that allows users tocreate, buy, and follow customized hashtag sites based on interests.",None,"Founder, Mobile Hashtag Platform",Online Media,1-10 Employees,"Jacksonville, Florida"
Platform Development for Hardware Development Company,Web Development,"$50,000 to $199,999",None,"Hashrocket developed a web-based platform, using Ruby on Rails, to interact and communicate with several pieces of hardware. This is the first platform of its kind.",Adam Justice,"Vice President, Grid Connect",Computer Networking,11-50 Employees,"Chicago, Illinois"
Rails Web Development for Online Payment Processor,Web Development,"$200,000 to $999,999",None,Hashrocket analyzed the existing code for an online payment processors website and completed the site structure in Rails. They continue to be a partner for feature updates and improvements.,John Farrelly,"Director of Operations, TFS",Internet,1-10 Employees,New York City Metro Area
Magento Implementation For Online United Kingdom Retailer,E-commerce Development,Confidential,None,"Fullestop provided custom Magentoresources to an online retailer. Projects included information architecture, back-end development, front-end implementation, and user testing.",None,Founder & Managing Director,Retail; Consumer Products,1-10 Employees,"London, United Kingdom"
Custom Offshore Development For Informational Technology Firm,Web Development,"Less than $10,000",None,"Fullestop built a live sports scoring toolwith the goal of boosting sitetraffic.The project included server administration, database construction, and back-end development.",None,Website Project Manager,Information Technology and Services,1-11 Employees,Los Angeles Metro Area
Custom Platform Development For Small Information Technology Firm,Development,Confidential,2012 - Ongoing,Fullestop designed and deployed a custom scheduling platform for a business services firm. Their contributions mainly included front-end design and data migration.,None,"Co-Founder & Managing Director, IT Firm",Information Technology and Services,1-11 Employees,"Cape Town, South Africa"
Social Media Startup Web Development,Web Development,"$10,000 to $49,999",None,FULLeSTOP provides design work and development on a website front-end and back-end for social networking. The projected includes both research and development.,None,"Founder, Social Media Startup",Social ,1-10 Employees,Washington DC Metro Area
Custom Application Development For Canadian Information Technology Firm,Mobile App Development,"$10,000 to $49,999",None,"Fullestop provides programmingresources and support for a mobile app developer.Projects typically include functional back-end development, testing, and deployment.",None,"Owner & CEO, IT Firm",Information Technology and Services,1-11 Employees,"Calgary, Canada"
Industrial Software Dev for Power Production Company,Custom Software Development,"$50,000 to $199,999",July 2017 - Ongoing,"Daxima used C# to develop a piece of industrial control software, including a SQL database connected to a number of APIs, a corresponding interactive web UI, and email reporting.",None,"Senior Analyst, Power Production Company",Oil & Energy,51-200 Employees,"San Francisco, California"
CRM Dev for Financial Institution,Development,"$200,000 to $999,999",2007 - Ongoing,"Daxima helped develop and implement a more robust client management system, capable of data aggregation, external program integrations, widespread use, and business growth.",None,"VP of Operations, financial counseling company",Banking,51-200 Employees,"Maryland, United States"
Software Dev for Law Practice,Custom Software Development,"$200,000 to $999,999",Jun. 2015 - Jan. 2016,"Daxima developed a software and web app capable of handling large amounts of data for creating numerous visa applications, including features such as step by step tutorials and barcode compatibility.",None,"App Development Manager, Legal Firm",Legal,"500-1,000 Employees","San Francisco, California"
App Dev for Law Firm,Custom Software Development,Confidential,Mar. 2013 - Ongoing,"Daximadeveloped proprietary apps pertaining to immigration management. Their scope encompassed the full engineering lifecycle, and they added new features such as multilayeredsecurity and a mobile app.",None,"Former CIO, Law Firm",Law Practice,201- 500 Employees,"San Francisco, California"
Billing Software Dev for Intermodal Companies,Application Management & Support,"$50,000 to $199,999",20110-2011,"Daximadeveloped a billing program for three intermodal company, the program made it easier to get bills in so that they could be paid quicker.",None,"Former VP , Intermodal Service Company","Transportation, Trucking, Railroad",11- 50 Employees,"Rancho Dominguez, California"
Web and App Dev for Private Messaging ,Development,"$50,000 to $199,999",Nov. 2016 - Ongoing,"Built from a PowerPoint presentation, Daxima created a web basedadmin solution for business owners extensivereporting functionality. They implemented data tracking, a simple UI for mobile, and organized the process.",Dan Filippi,"CEO, Shmib LLC",Internet,1-10 Employees,"Walnut Creek, California"
Health and Wellness Management iOS App,Mobile App Development,"$50,000 to $199,999",Nov. 2012 - Ongoing,Hathway developed an iOS native app to leverage APIs for business management software and deliver mode usage to mobile devices for small business staff. The app was recently submitted to the App Store.,None,"Co-Founder & CEO, Mobile App Developers",IT Services,501-1000 Employees,"San Luis Obispo, California"
Paint Manufacturer Sales Application,Development,"$10,000 to $49,999",None,"Hathway is completing various internal applications to sync sales and internal processes with iPhones and to improve efficiency, identifiying the most appropriate mobile technology and platforms.",None,"Digital Marketing Project Manager, Exterior & Interior Paint Manufacturer",Consumer Goods,1001-5000 Employees,"Orange County, California"
Outsourced Development Relationship with Fintech Firm ,Development,"$50,000 to $199,999",Jan. 2010 - Ongoing,"Mindster helped a financial techcompany developWordPress sites and several mobile apps, includingaflagshippayment app integrated with multiple APIs and third parties' technologies.",Shumaiz Abdulsalam,"IT Director, Financial Services Company",Financial Services,201-500 Employees,"Dubai, United Arab Emirates"
Web and App Dev of Car Financing Portal ,Development,"$50,000 to $199,999",Mar. 2017 - Ongoing,"As part of a multi-phase project, Mindster worked with the in-house team to build a cross-platform app, as well as using .NET to integrate a web platform with Siebel. Other work includes SharePoint development.",Thomas Merine,"Director of Sales and Marketing, Commercial Technologies Plus",IT Services,1-10 Employees,Saudi Arabia
Android and iOS App Dev for International Customs Org,Mobile App Development,"$10,000 to $49,999",Jan. - June 2018,Softnauts developedan Android and iOS mobile app that is connected to a Moodle-based LMS and can save user learning and practice progress.,None,"E-learning Manager, International Customs Organization",None,51-200 Employees,"Brussels, Belgium"
Android App Development for Ice Delivery IT Services Firm,Mobile App Development,"$50,000 to $199,999",2014 - Ongoing,Softnauts built an Android app to replace an outmoded mobile system. The beta version is live and runs on a cloud-based server. The team provides maintenance and support while they build new functionalities.,Tony Dickson,"Owner, Cool Running Software",IT Services,1-10 Employees,Ohio
Modern Learning Management System for Schools,Development,"$50,000 to $199,999",Jan. 2017 - June 2018,"Working with an accelerated timeline, Softnauts developed a custom learning management system for schools. They provided full stack development to create a modern and functional product.",Myron Cizdyn,"CEO, BLPS ",None,11-50 Employees,"Valparaiso, Indiana "
Numerous Outsourced Development for Online Gambling Company,Web Development,"$50,000 to $199,999",2015 - Ongoing,"Softnauts provided additional development work for a client, including the build fora mobile and web applicationusing JavaScript and Native iOS and Android platforms.",Erez Leket,"Former Mobile Solutions Manager, Unibet",Gambling & Casinos,"1,001-5,000 Employees","London, United Kingdom"
iOS & Android and Web Development for Ranking & Dating App,Mobile App Development,"$50,000 to $199,999",Oct. 2016 - Apr. 2018,"Softnauts developed iOS and Android applications for a rating-based dating app, working from scripts to develop the wireframes. They also worked on an associated landing page to promote the applications. ",Mareno de Kort ,"Founder, Attractiv B.V.",Information Technology and Services,1-10 Employees,"Antwerp, Belgium"
App Development for Gift Card Company,Mobile App Development,"$50,000 to $199,999",None,The client hired Softnauts primarily for the development of their iOS and Android app and extended the scope of the agencys involvement to include mobile strategy.,None,"Mobile Platforms Manager, Gift Card Granny",Consumer Services,11-50 Employees,Pittsburgh Metro Area
App Development for Recycling Equipment Manufacturer,Development,"Less than $10,000",June - Sep. 2015,The client hired Softnauts to provide end-to-end development services during the building of their iOS app intended for use by their sales personnel.,Colin Rafferty,"Office Manager, Portafill International Ltd.",Manufacturing,51-200 Employees,"Dungannon, UK"
Web Development for Art Gallery Web Design Firm,Web Development,"$50,000 to $199,999",Oct. 2012 - Ongoing,The client hired Softnauts to provide inventory application and custom website development work using the Symfony framework on PHP and MySQL on the back-end.,None,"CTO, Web Design Firm",IT Services,1-10 Employees,New York Metro Area
iOS App Development for Photography Startup,Development,"$10,000 to $49,999",2014 - Ongoing,The client supplied Softnauts with the wireframes for their iOS app idea and tasked the agency with the development and coding of the app.,Broc Pacholik,"Founder, Photography Startup",Photography,1-10 Employees,Canada
Web Development for Construction Software Company,Web Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,OptiSol has developeda corporate webplatformon PHP and MySQL. They also provide ongoing maintenance and business analysis to improve the software.,None,"Director of Technology, Construction Software Company",Construction,11-50 Employees,"Orange County, California"
iOS & Android Dev for Personal Development Mobile App,Mobile App Development,"$10,000 to $49,999",Apr. 2016 - Jan. 2018,OptiSol Business Solutions designed and developed both software and a mobile app for iOS and Android. The platform includes an integrated affiliate program that includes categories of personal development.,Michael Hilliard,"Owner, Amazing App LLC","Health, Wellness & Fitness",1-10 Employees,"Phoenix, Arizona"
Node.js & HTML Development for Online Gym,Web Development,"Less than $10,000",None,"OptiSol augments development ofa web platform using Node.js, HTML5 with Bootstrap, and an SQL database. They also manage Amazon Web Services server load.",None,"CEO, Online Gym","Health, Wellness & Fitness",1-10 Employees,"London, United Kingdom"
Web & App Development for Social Networking Platform,Web Development,"$50,000 to $199,999",Sept. 2016 - Ongoing,"OptiSol established the web and mobile iterations of a social networking platform. After building an early viable product in less than a week, they incorporated streaming services and a payment gateway.",Harold Jackson,"CEO, Stars Branding Network",Social Media,1-10 Employees,"Brandywine, Maryland"
App Development for Austrian Technology Company,Mobile App Development,"Less than $10,000",Oct. 2015 - Jan. 2016,"OptiSol Business Solutions developed a mobile fitness application, including the integration of video synchronizations. They were provided a simple specification, and created a technical plan for the project.",Christian Eder,"Head of Technology, Quantoras",Information Technology,1-10 Employees,"Vienna, Austria"
Web App Design & Development for Tech Startup,Web Development,"$200,000 to $999,999",Apr. 2013 - Ongoing,"OptiSol Business Solutions provided technical resources for the development and design of an e-commerce platform, using languages such asMongoDB, AngularJS and Node.js throughout the project.",None,"Founder & CEO, Tech Startup",Information Technology,1-10 Employees,United Kingdom
Mobile App Dev for Money Transfer Platform,Mobile App Development,"$50,000 to $199,999",Dec. 2016 - Ongoing,"To ensure the Payment card Security Standards and compliance, OptiSol Business Solutions built the cloud based money transfer web and mobile application software and delivered it on time.",Olga Bencini,"Founder & CEO, AcceptLocal Online Ltd.",Financial Services,1-10 Employees,"Vancouver, Canada"
Chemistry Formulation Solution for 3D Printing Company,Custom Software Development,"$50,000 to $199,999",Jan. 2017 - Ongoing,"Recognizing the need for a software that can securely hold data and share confidential information within an organization, OptiSol developed a solution with integrated APIs and a project management capability.",Ken Kisner,"Founder & CEO, Molecule Corp",Chemicals,11-50 Employees,"Concord, California"
UX/UI Development for Event Sharing App,Mobile App Development,"$50,000 to $199,999",Jan. 2015 - Ongoing,OptiSol Business Solutions provided both the backend and frontend development of the client's app on iOS and Android devices to create an optimal user experience.,Nick Talken,"Co-Founder, Hype",Media,2-10 Employees,"San Francisco, California"
Android Naming System for Materials Tracking Company,Development,"Less than $10,000",June 2016 - Ongoing,OptiSol Business Solutions developed an Android version of the client's app that allows their naming system to upload files directly to their servers.,Phil Lifsey,"CEO, ExQual",Oil & Energy,2-10 Employees,"Austin, Texas"
Web Dev and AWS Assistance for GWA Group Ltd.,Web Development,"$200,000 to $999,999",August 2016 - Ongoing,"Net Solutions leads all web development, both frontend and backend. They build and maintain several brand sites, internal tools for sales and marketing teams, as well as provide AWS infrastructure services.",Sandeep Babbar,"Technology Director, GWA Bathrooms & Kitchens",Building Materials,"1,001-5,000 Employees",Australia
Custom iOS Dev for Healthcare Company,Development,Confidential,Oct. 2016 - Ongoing,"Net Solutions helped develop an online pharmacy .NET platform. They assisted in everything from business analysis to UI, UX, and QA. They also helped with bug fixes and enhancements of an existing iOS app.",None,Project Lead,Healthcare & Medicine,1-10 Employees,"Sydney, Australia"
iOS & Android Prototype Dev for App Startup,Development,"$50,000 to $199,999",Oct. 2016 - Ongoing,"Net Solutions handles the cross-platform development of a video-based mobile MVP, allocating 6 stable team members on a fixed-resource basis to conduct iterative work, testing, tweaks, and support.",None,Founder,Computer Software,1-10 Employees,"Warwickshire, United Kingdom"
Platform Enhancement & iOS Dev for Ed Tech Startup,Custom Software Development,"$200,000 to $999,999",May 2014 - Ongoing,Net Solutions created an at-home educational iOS app by reinventing the existing web-based platform as a mobile product. They now manage all development tasks across core feature rebuilds.,None,Founder,e-Learning,1-10 Employees,"London, United Kingdom"
PHP Development and Testing for Website Security Firm,Custom Software Development,"$50,000 to $199,999",Mar. 2014 - Ongoing,"Net Solutions conducts software development and testing in an outsourced engagement, delivering functional packages for a security product. A single Android resource also supports rapid scaling.",None,"Co-founder, Website Security Firm",Computer Software,1-10 Employees,Scotland
Unfinished Android Dev for Transportation Provider,Mobile App Development,Confidential,Jan. 2017 - Ongoing,Net Solutions is building a custom Android app meant to help common carriers better manage their equipment. The solution integrates several paper-based tasks into one unified platform.,Lance Norman,"Partner & EVP, APPS Transport",Transportation/Trucking,51-200 Employees,"Brampton, Ontario"
Ongoing Flagship Product Dev for Business Services Firm,Custom Software Development,Confidential,2007 - Ongoing,Net Solutions suppliesdevelopers who help an internal team mitigate project overflow. The main efforts involve building web apps using HTML5 and an iOS counterpart.,Daniel Wolfe,"Director, IsaiX Technologies",Computer Software,11-50 Employees,"Montreal, Canada"
iOS & Android App Dev for Undisclosed B2C App Startup,Mobile App Development,"$10,000 to $49,999",Feb. 2017 - Ongoing,Net Solutions is designing and developing an iOS and Android app to filter local restaurants based on their diet-friendly offerings. They're currently refining the UI/UX.,None,"Founder, Undisclosed Startup",Business Services,1-10 Employees,"Toronto, Canada"
Ongoing Dev Engagement for Legal Staffing Firm,Development,"$50,000 to $199,999",Mar. 2012 - Ongoing,"Net Solutions first developed a custom CRM, then redesigned the front-end of an existing website, and eventually implemented several internal user portals for sharing/collaboration purposes.",None,Founder & CEO,Staffing & Recruiting,11-50 Employees,New York Metro Area
Platform Development for Business Services Startup,Web Development,"$50,000 to $199,999",Aug. 2015 - Ongoing,Net Solutions developed a web-based employee engagement platform and integrated it with multiple 3rd party platforms. Their involvement remains ongoing.,None,Founder & CEO,Information Technology,1-10 Employees,"Fresno, California"
iOS Port Development for Sales App Company,Mobile App Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,DOIT Software is porting an Android app to iOS. Theyve completed the business card and IoT functions and are currently building a communication platform.,Andrew Amann,"VP of Products, Upline Networks",None,51-200 Employees,"Boston, Massachusetts"
Custom Software Dev for Behavior Health Agency,Custom Software Development,"$50,000 to $199,999",Sept. 2017 - Ongoing,DOIT Software developed a web tool to secure log-ins into a database. Theyprogrammeddigital signature technology and offered technical feedback.,Marlon Gray,"Owner & Founder, Empower U.",Hospital & Health Care,1-10 Employees,"New York, New York"
Custom Web Dev for Home Appliance Manufacturing Company,Development,"Less than $10,000",June. - Aug. 2017,"DOIT Software developed a Magento website, completely reworking the original site and its functionalities.",Steve Garb," IT Director, Vigo Industries",Manufacturing,11-50 Employees,"New York, New York"
Android App Dev for Enterprise Software Platform ,Mobile App Development,Confidential,Dec. 2017 - Ongoing ,"DOIT Software supported the build of white label, configurable, and templated IoT platform. Efforts focused on Android and included hardware, software, backend, analytics, and engagement tools.",None,"CTO, Enterprise Software Platform",IT Services ,11-50 Employees,"Boston, Massachusetts"
Outsourced iOS App Dev for Consultancy ,Mobile App Development,"$50,000 to $199,999",Aug. 2017 - Ongoing ,DOIT built a proximity marketing application for iOS to mirror an existing Android app. The app edits pages to be broadcast. They also maintain a digital business card app. The work is ongoing.,Pavel Kirillov,Business Consultant,IT Services ,11-50 Employees,"Toronto, Canada"
WordPress Dev for Large Supply Chain Company,Web Development,"$10,000 to $49,999",Oct. 2017 - Ongoing ,"DOIT developed the layout, design, functionality, and backend of the existing WordPress site. The site features a complex home page with changing headers and data-rich reports. They also implemented e-commerce.",None,"Former Director of Engineering, Large Supply Chain ",Logistics and Supply Chain,11-50 Employees,"Boston, Massachusetts"
Outsourcing App Dev for IT Development Company ,Mobile App Development,Confidential,June - Aug. 2017,"Using Java and Swift,DOIT Software built iOS and Android apps for a workout equipment manufacturer. They providedrequirements scoping, website and widgetdevelopment, and user training materials.",Piotr Biernacki,"CEO, Ideo Solutions",IT Services ,1-10 Employees,"Oslo, Norway"
Web App Dev for Healthcare Technology Company,Web Development,"$10,000 to $49,999",Jan. - Apr. 2018,"Topflight Apps developed a prototype of a healthcare management platform, fostering easier doctor and staff communication. Topflight created the code and drew designs for UX/UI on a Laravel platform.",None,"COO, Healthcare Startup",Hospital & Health Care,1-10 Employees,"New York, New York"
Data Extraction App Dev for Sleep Therapy Center,Mobile App Development,"$10,000 to $49,999",Sept. 2017 - May 2018,"Topflight created an iOS and Android app that sends daily push notifications as a reminder to log symptom severity and treatment progress. Through the app, users also have direct communication with doctors.",Dr. Jamil Alkhoury,"Director, TMJ Sleep Therapy Centre",Hospital & Health Care,11-50 Employees,"San Francisco, California"
E-Commerce Dev for Home Improvement Company,E-commerce Development,"$50,000 to $199,999",Nov. 2017 - Ongoing,"Using Ruby on Rails, Koombea migrated an e-commerce site to Shopify Plus. They also created an intermediate platform on the cloud between Shopify and the back office to integrate the transition.",None,"CIO, Do It Center",Information technology ,"1,001-5,000 Employees","Panama City, Panama"
App and Web Dev for Targeted Healthcare Solution,Mobile App Development,Confidential,Mar. 2015 - Mar. 2017,Koombea developed a HIPAA compliant app and a website targeted for parents/caretakers of babies who end up in the neonatal intensive care unit [NICU]. These werecross-platformand with an easy to use UIUX.,None,"UX Strategy & Design Lead, Healthcare Company",Healthcare,11-50 Employees,"San Francisco, California"
Multiple Developments for Cargo Transportation Platform,Development,"$200,000 to $999,999",2015 - Ongoing,Koombea is a strategic partner in the development of a platform for tracking cargo. Theyve been involved since the start with the MVP and have built features such an admin portal and a companion mobile app.,None,"Founder, Packen",Transportation,1-10 Employees,"Bogota, Colombia"
iOS App Dev for Social Media App Startup,Mobile App Development,"$10,000 to $49,999",May. 2017 - Jul. 2017 ,"Koombea collaborated in the development of aniOS social media aggregator mobile application usingaccelerometers, radio technologies, and various social media API's.",None,"CEO, Social Media App Startup",Information Technology ,1-10 Employees,"Narraganssett, Rhode Island"
Web & Mobile App Dev for Microsavings Platform,Mobile App Development,"$200,000 to $999,999",Feb. 2017 - Ongoing,"Naked Apps is building a microsaving mobile application for iOS, working from the initial ideas and developing several iterations of the app.",Scott Armstrong,"President, New World Savings",Financial Services,1-10 Employees,"Orange County, California"
iOS Development for Landscape Networking App,Mobile App Development,"$50,000 to $199,999",Aug. 2016 - Oct. 2017,Naked Labs managed the design and development processes in creating an iOS app with payment processing and scheduling functionality. Collaborative marketing efforts and a port to Android are imminent.,Chris Holt,"CEO, ScapeGoat App LLC",Computer Software,1-10 Employees,"Salt Lake City, Utah"
UX Design for Large Bank,UI/UX Design,"$200,000 to $999,999",None,"ustwo was contracted to work on a project for a large bank that dealt with geolocation that would connect customers with merchants, as well as construct the UX [user experience] design.",None,"Executive Manager, Large Bank",Financial Services,"10,001+ employees","Sydney, Australia"
Children Nonprofit Mobile Application,Mobile App Development,"$50,000 to $199,999",None,"Ebbex adapted an existing SurveyMonkey assessment into an app. This included creating storyboards, graphic design, and back-end interface. The team also designed a tutorial within the app to help new users.",None,"Executive Director, Children Non-Profit",Non-profit,11-50 Employees,"Redwood, California"
Major Supermarket Chain Mobile Design,Mobile App Development,Confidential,June 2013 - Jan. 2014,"Ebbex aided in strategy, development, and design of a supermarket chain iOS application with the goal of creating a platform to engage customers. Ebbex hosts the app on their servers and performs app support.",None,"Marketing Manager, National Supermarket Chain",Food & Beverages,"10,001 + Employees",Los Angeles Metro Area
European Design Studio iOS Application Development,Development,"$50,000 to $199,999",None,"Ebbex developed an iOS app for a design studio. They collaborated on wireframing and consulted around design. After that success, Ebbex became a development partner.",None,"Founder, European Boutique Design Studio",Digital Design,2-10 employees,"Moscow, Russia"
